bin	start	end	Center	ChromArm	chr
1	700000	5999999	3349999.5	1p	chr1
2	6000000	10999999	8499999.5	1p	chr1
3	11000000	16699999	13849999.5	1p	chr1
4	16700000	21799999	19249999.5	1p	chr1
5	21800000	26799999	24299999.5	1p	chr1
6	26800000	32099999	29449999.5	1p	chr1
7	32100000	37099999	34599999.5	1p	chr1
8	37100000	42099999	39599999.5	1p	chr1
9	42100000	47099999	44599999.5	1p	chr1
10	47100000	52099999	49599999.5	1p	chr1
11	52100000	57099999	54599999.5	1p	chr1
12	57100000	62099999	59599999.5	1p	chr1
13	62100000	67099999	64599999.5	1p	chr1
14	67100000	72099999	69599999.5	1p	chr1
15	72100000	77099999	74599999.5	1p	chr1
16	77100000	82099999	79599999.5	1p	chr1
17	82100000	87299999	84699999.5	1p	chr1
18	87300000	92299999	89799999.5	1p	chr1
19	92300000	97299999	94799999.5	1p	chr1
20	97300000	102299999	99799999.5	1p	chr1
21	102300000	107599999	104949999.5	1p	chr1
22	107600000	112699999	110149999.5	1p	chr1
23	112700000	117699999	115199999.5	1p	chr1
24	243900000	249199999	246549999.5	1q	chr1
25	238900000	243899999	241399999.5	1q	chr1
26	233700000	238899999	236299999.5	1q	chr1
27	228700000	233699999	231199999.5	1q	chr1
28	223500000	228699999	226099999.5	1q	chr1
29	218500000	223499999	220999999.5	1q	chr1
30	213500000	218499999	215999999.5	1q	chr1
31	208500000	213499999	210999999.5	1q	chr1
32	203100000	208499999	205799999.5	1q	chr1
33	198100000	203099999	200599999.5	1q	chr1
34	193100000	198099999	195599999.5	1q	chr1
35	188100000	193099999	190599999.5	1q	chr1
36	183100000	188099999	185599999.5	1q	chr1
37	178100000	183099999	180599999.5	1q	chr1
38	173100000	178099999	175599999.5	1q	chr1
39	168100000	173099999	170599999.5	1q	chr1
40	163100000	168099999	165599999.5	1q	chr1
41	158100000	163099999	160599999.5	1q	chr1
42	153100000	158099999	155599999.5	1q	chr1
43	145400000	153099999	149249999.5	1q	chr1
44	100000	5399999	2749999.5	2p	chr2
45	5400000	10399999	7899999.5	2p	chr2
46	10400000	15399999	12899999.5	2p	chr2
47	15400000	20599999	17999999.5	2p	chr2
48	20600000	25699999	23149999.5	2p	chr2
49	25700000	30699999	28199999.5	2p	chr2
50	30700000	35699999	33199999.5	2p	chr2
51	35700000	40699999	38199999.5	2p	chr2
52	40700000	45699999	43199999.5	2p	chr2
53	45700000	50699999	48199999.5	2p	chr2
54	50700000	55699999	53199999.5	2p	chr2
55	55700000	60699999	58199999.5	2p	chr2
56	60700000	65699999	63199999.5	2p	chr2
57	65700000	70699999	68199999.5	2p	chr2
58	70700000	75699999	73199999.5	2p	chr2
59	75700000	80699999	78199999.5	2p	chr2
60	80700000	85699999	83199999.5	2p	chr2
61	237800000	243099999	240449999.5	2q	chr2
62	232700000	237799999	235249999.5	2q	chr2
63	227700000	232699999	230199999.5	2q	chr2
64	222700000	227699999	225199999.5	2q	chr2
65	217700000	222699999	220199999.5	2q	chr2
66	212700000	217699999	215199999.5	2q	chr2
67	207700000	212699999	210199999.5	2q	chr2
68	202700000	207699999	205199999.5	2q	chr2
69	197700000	202699999	200199999.5	2q	chr2
70	192700000	197699999	195199999.5	2q	chr2
71	187700000	192699999	190199999.5	2q	chr2
72	182700000	187699999	185199999.5	2q	chr2
73	177700000	182699999	180199999.5	2q	chr2
74	172700000	177699999	175199999.5	2q	chr2
75	167700000	172699999	170199999.5	2q	chr2
76	162700000	167699999	165199999.5	2q	chr2
77	157700000	162699999	160199999.5	2q	chr2
78	152700000	157699999	155199999.5	2q	chr2
79	147500000	152699999	150099999.5	2q	chr2
80	142500000	147499999	144999999.5	2q	chr2
81	137500000	142499999	139999999.5	2q	chr2
82	132500000	137499999	134999999.5	2q	chr2
83	127200000	132499999	129849999.5	2q	chr2
84	122200000	127199999	124699999.5	2q	chr2
85	117200000	122199999	119699999.5	2q	chr2
86	111800000	117199999	114499999.5	2q	chr2
87	105800000	111799999	108799999.5	2q	chr2
88	100800000	105799999	103299999.5	2q	chr2
89	95600000	100799999	98199999.5	2q	chr2
90	100000	5099999	2599999.5	3p	chr3
91	5100000	10099999	7599999.5	3p	chr3
92	10100000	15099999	12599999.5	3p	chr3
93	15100000	20099999	17599999.5	3p	chr3
94	20100000	25099999	22599999.5	3p	chr3
95	25100000	30099999	27599999.5	3p	chr3
96	30100000	35099999	32599999.5	3p	chr3
97	35100000	40099999	37599999.5	3p	chr3
98	40100000	45099999	42599999.5	3p	chr3
99	45100000	50099999	47599999.5	3p	chr3
100	50100000	55099999	52599999.5	3p	chr3
101	55100000	60099999	57599999.5	3p	chr3
102	60100000	65099999	62599999.5	3p	chr3
103	65100000	70299999	67699999.5	3p	chr3
104	70300000	75299999	72799999.5	3p	chr3
105	75300000	80499999	77899999.5	3p	chr3
106	80500000	85499999	82999999.5	3p	chr3
107	85500000	90499999	87999999.5	3p	chr3
