chr,start,end,arm,gc,map,filtered.bases
chr1,1000001,2000000,1p,0.568915,0.930585982847159,97
chr1,2000001,3000000,1p,0.553133,0.950318240597064,0
chr1,3000001,4000000,1p,0.484134,0.986264262991545,523
chr1,4000001,5000000,1p,0.482201,0.981170319330652,291
chr1,5000001,6000000,1p,0.469288,0.982391711952174,0
chr1,6000001,7000000,1p,0.51752,0.983162197326821,0
chr1,7000001,8000000,1p,0.479461,0.981314199830306,0
chr1,8000001,9000000,1p,0.444356,0.980500274386157,0
chr1,9000001,10000000,1p,0.50197,0.98450272488635,0
chr1,10000001,11000000,1p,0.478274,0.98472347411959,0
chr1,11000001,12000000,1p,0.500043,0.979524330673915,0
chr1,12000001,13000000,1p,0.469178,0.91214351874997,0
chr1,13000001,14000000,1p,0.370922,0.554746086659394,0
chr1,14000001,15000000,1p,0.431262,0.981350391002065,0
chr1,15000001,16000000,1p,0.48383,0.987125495165005,0
chr1,16000001,17000000,1p,0.496197,0.912534925736579,27
chr1,17000001,18000000,1p,0.481437,0.919884517247044,346
chr1,18000001,19000000,1p,0.491613,0.993409126822177,0
chr1,19000001,20000000,1p,0.487321,0.990689345239607,0
chr1,20000001,21000000,1p,0.473806,0.989010178537321,0
chr1,21000001,22000000,1p,0.460534,0.962665731679104,0
chr1,22000001,23000000,1p,0.491468,0.981053188953181,68
chr1,23000001,24000000,1p,0.472911,0.985412401866152,0
chr1,24000001,25000000,1p,0.464707,0.976766425732379,0
chr1,25000001,26000000,1p,0.474254,0.932322831968406,113
chr1,26000001,27000000,1p,0.487044,0.983113139543681,0
chr1,27000001,28000000,1p,0.495588,0.977224501972811,0
chr1,28000001,29000000,1p,0.452362,0.975076405358352,71
chr1,29000001,30000000,1p,0.410058,0.98101849097541,0
chr1,30000001,31000000,1p,0.464344,0.976424123268654,79
chr1,31000001,32000000,1p,0.469672,0.983984320658179,149
chr1,32000001,33000000,1p,0.482056,0.982867381859419,80
chr1,33000001,34000000,1p,0.467666,0.977086899054445,0
chr1,34000001,35000000,1p,0.446014,0.972016181856087,0
chr1,35000001,36000000,1p,0.433097,0.970626845148277,0
chr1,36000001,37000000,1p,0.460455,0.985845698115582,0
chr1,37000001,38000000,1p,0.480215,0.983340113409117,63
chr1,38000001,39000000,1p,0.466472,0.983584416600907,0
chr1,39000001,40000000,1p,0.444043,0.971138392337003,48
chr1,40000001,41000000,1p,0.4495,0.967341278411124,0
chr1,41000001,42000000,1p,0.46445,0.978220191033928,0
chr1,42000001,43000000,1p,0.434464,0.975499360938839,173
chr1,43000001,44000000,1p,0.454821,0.9764577975511,581
chr1,44000001,45000000,1p,0.469327,0.991626548130547,0
chr1,45000001,46000000,1p,0.451592,0.962477608391119,0
chr1,46000001,47000000,1p,0.451369,0.969747899702131,98
chr1,47000001,48000000,1p,0.438481,0.916582501982437,0
chr1,48000001,49000000,1p,0.442325,0.958274170081771,0
chr1,49000001,50000000,1p,0.399961,0.967900172184885,0
chr1,50000001,51000000,1p,0.39493,0.959151090993836,0
chr1,51000001,52000000,1p,0.39765,0.971742239458133,0
chr1,52000001,53000000,1p,0.413492,0.978300272811644,0
chr1,53000001,54000000,1p,0.461702,0.980777440807263,0
chr1,54000001,55000000,1p,0.47356,0.985654321353975,0
chr1,55000001,56000000,1p,0.451045,0.974857369620039,0
chr1,56000001,57000000,1p,0.403637,0.97762794675063,0
chr1,57000001,58000000,1p,0.404398,0.989191617005695,0
chr1,58000001,59000000,1p,0.409237,0.96256992002814,63
chr1,59000001,60000000,1p,0.414909,0.971851906311099,0
chr1,60000001,61000000,1p,0.384905,0.950944351522229,0
chr1,61000001,62000000,1p,0.397585,0.982043440794844,0
chr1,62000001,63000000,1p,0.416299,0.979181877994339,0
chr1,63000001,64000000,1p,0.389097,0.972964730397734,0
chr1,64000001,65000000,1p,0.410554,0.976706065521252,0
chr1,65000001,66000000,1p,0.407677,0.980089608225595,24
chr1,66000001,67000000,1p,0.377587,0.949151180093631,0
chr1,67000001,68000000,1p,0.389603,0.971721030045187,0
chr1,68000001,69000000,1p,0.404482,0.982568422941562,711
chr1,69000001,70000000,1p,0.371276,0.953378082933888,0
chr1,70000001,71000000,1p,0.365388,0.970435356572019,0
chr1,71000001,72000000,1p,0.372573,0.96176304391845,0
chr1,72000001,73000000,1p,0.349062,0.983619921130236,0
chr1,73000001,74000000,1p,0.349743,0.970505477236424,0
chr1,74000001,75000000,1p,0.356822,0.974996226409767,0
chr1,75000001,76000000,1p,0.372938,0.95452643006439,0
chr1,76000001,77000000,1p,0.385082,0.96455070374589,134
chr1,77000001,78000000,1p,0.384947,0.970003105777744,0
